Reference Area,Time Period,Sex,Value
Cuba,2015,Female,100
Cuba,2015,Male,100
Cuba,2015,Total,100
Cuba,2014,Female,100
Cuba,2014,Male,100
Cuba,2014,Total,100
Cuba,2013,Female,100
Cuba,2013,Male,100
Cuba,2013,Total,100
Cuba,2012,Female,100
Cuba,2012,Male,100
Cuba,2012,Total,100
Cuba,2011,Female,100
Cuba,2011,Male,100
Cuba,2011,Total,100
Cuba,2010,Female,100
Cuba,2010,Male,100
Cuba,2010,Total,100
Cuba,2009,Female,100
Cuba,2009,Male,100
Cuba,2009,Total,100
Cuba,2008,Female,100
Cuba,2008,Male,100
Cuba,2008,Total,100
Cuba,2007,Female,100
Cuba,2007,Male,100
Cuba,2007,Total,100
Cuba,2006,Female,100
Cuba,2006,Male,100
Cuba,2006,Total,100
Cuba,2005,Female,100
Cuba,2005,Male,100
Cuba,2005,Total,100
Cuba,2004,Female,79.72807
Cuba,2004,Male,80.6653
Cuba,2004,Total,80.23342
Cuba,2003,Female,84.29509
Cuba,2003,Male,85.90086
Cuba,2003,Total,85.15774
Cuba,2002,Female,82.04004
Cuba,2002,Male,81.96612
Cuba,2002,Total,82.00059
Cuba,2001,Female,93.65718
Cuba,2001,Male,93.38458
Cuba,2001,Total,93.52659
Cuba,2000,Female,87.77039
Cuba,2000,Male,88.07991
Cuba,2000,Total,87.92766
Djibouti,2015,Female,100
Djibouti,2015,Male,100
Djibouti,2015,Total,100
Djibouti,2014,Total,100
Djibouti,2011,Female,100
Djibouti,2011,Male,100
Djibouti,2011,Total,100
Dominica,2014,Female,48.12834
Dominica,2014,Male,42.02899
Dominica,2014,Total,46.48438
Dominica,2012,Female,44.44444
Dominica,2012,Male,44.11765
Dominica,2012,Total,44.35484
Dominica,2011,Female,45.1087
Dominica,2011,Male,45.71429
Dominica,2011,Total,45.27559
Dominica,2010,Female,48.63014
Dominica,2010,Male,39.18919
Dominica,2010,Total,45.45455
Dominica,2009,Female,41.01124
Dominica,2009,Male,41.93548
Dominica,2009,Total,41.25
Dominica,2008,Female,28.87324
Dominica,2008,Male,32.05128
Dominica,2008,Total,30
Dominica,2007,Female,43.38235
Dominica,2007,Male,44.87179
Dominica,2007,Total,43.92523
Dominica,2006,Female,44.11765
Dominica,2006,Male,41.66667
Dominica,2006,Total,43.26923
Dominica,2005,Female,34.09091
Dominica,2005,Male,28.30189
Dominica,2005,Total,31.91489
Dominica,2004,Female,37.2093
Dominica,2004,Male,31.11111
Dominica,2004,Total,35.1145
Dominica,2003,Female,37.23404
Dominica,2003,Male,27.90698
Dominica,2003,Total,34.30657
Dominica,2002,Female,33.33333
Dominica,2002,Male,31.70732
Dominica,2002,Total,32.8125
Dominica,2001,Female,32.87671
Dominica,2001,Male,28.57143
Dominica,2001,Total,31.48148
Dominica,2000,Female,31.66667
Dominica,2000,Male,25
Dominica,2000,Total,29.34783
Dominican Republic,2012,Female,93.54322
Dominican Republic,2012,Male,91.98188
Dominican Republic,2012,Total,92.86399
Dominican Republic,2011,Female,78.10818
Dominican Republic,2011,Male,72.89317
Dominican Republic,2011,Total,76.00796
Dominican Republic,2010,Female,93.81951
Dominican Republic,2010,Male,92.62071
Dominican Republic,2010,Total,93.31948
Dominican Republic,2009,Female,93.4455
Dominican Republic,2009,Male,92.29694
Dominican Republic,2009,Total,92.96536
Dominican Republic,2008,Female,83.10148
Dominican Republic,2008,Male,83.08458
Dominican Republic,2008,Total,83.09341
Dominican Republic,2007,Female,88.96387
Dominican Republic,2007,Male,75.32055
Dominican Republic,2007,Total,82.44511
Dominican Republic,2006,Female,79.21103
Dominican Republic,2006,Male,69.0522
Dominican Republic,2006,Total,74.43125
